,label,text_changed
5019,2,rio caray despues pense iba  feliz
35666,0,entendido significado septiembre tramo capitalizar votos  pierda pierda pierda viajes viene ayudarlxs ayudarian modifica declaraciones
33960,1,peru propuestas mauricio mulder apra reforma politica existan camaras diputados senadores  cobertura cobertura
15090,0,altero  mauricio mauricio mulder dijero pusieron dedo detras jorge castillo apra
18918,1,lazo lazo feliz
2080,1,colores colores sucuesar
18804,2,enero club revolver realmente  cambiar pais esperamos
6948,0,justa  empezar empezar frenar despelote genero
234,2,tengas  fantastico fantastico caeli
17903,2,noche 7pmel delperu  porconversando propuestas ppc unequipoquejuegalimpio
34692,2,espectacular martha  chavez chavez chavez fuerzapopular fuerzanaranja
35678,0,partido morado sinverguenza pudiste infiel esposa mantenia peor fuiste corriendo hotel  salud acompa
17940,0,penoso papel jugo ppc aliado alangarcia ultimas elecciones  lourdes flores juan carlos eguren horacio canepa recibieron dinero odebrechty juegan limpioaspauza razuri
4072,0,color terminar  fenxc3xb3meno moreton lider julio guzman insistian disolver congreso encuestas paida campa fugaz detras accion popular fuerza popular
18114,0,escuchar  horrible horrible horrible musica deberias respetar area comun imbesil super polite
1575,2,apra gano  equipo mauricio mulder renzo iba nidia vilchez
34662,2,despues  achuchado despedimos recorriendo mercado central lima escuchamos gente emprendedo
19362,2,mauricio mulder tribuno democrata dictaduras voto apra mulder  renzo renzo renzo
3287,2,sofiaes75112804 hectorbecerrilr mora elpartidomorado  julio julio julio pronunciaron inmediato verguen
31192,0,ptm oye  jodas jodas animal pretendes congreso fuerzapopular
10542,2,lescano unico  salva pellejo trapeo
11930,2,candidato congreso republica lima carlos mesia ramirez marca escribe  fuerzapopular limanorte
15431,0,claro congreso tuvieron gatos jorge petroaudios castillo lucina ahorradora leon mauricio empleados fantasmas mulder javier temerario velazquez elecciones pasaran valla electoral vayan buscando  reinscribir mafia
70,0,intensiones descubro  plano entra base entrega
18309,2,almenos vivo  enga enga enga enga ada
22295,2,eleccion gracias empujarme  saquen
9347,2,acabamos semana tendencias 2020 enes episodio  ppc ppc mano mejores profesionalesysantibanezmuchas gracias acompa arnos episodios
23997,1,david vargas candidato congreso fuerzapopular
4121,1,palabra portada noticia semana
35998,2,ppc espero alternancia paridad obligatoria  listas listas listas listas caracterizan
34745,0,alajandra fuerza popular queda claro partido tipo personas  chabacano malcriado atrevido mide
29442,1,puedes dormir  sonrisa sonrisa sonrisa oreja oreja semana
3233,2,perunewsale garcia toma guzman elpartidomorado actuo rapidamente mora  victor victor garcia toma cree ciudada
2792,0,congresista congresista congresista miembro fuerzapopular perdido razon insulta twitea impulsivamente
28930,1,politica valores votos pondrian acabo encontrarme letrero puerta radio americana  andahuaylas andahuaylas andahuaylas andahuaylas erasmo galvan
30486,0,candidatos vivido teta mauricio  hablamos vividores  seria representante
3125,1,jotamendoza3m seguimos informando  clan campa propuestas serias agradezco
35836,0,votar presidente gil  mantener voto candidatos
17419,0,autodestruccion mediocridad  ponen accion predican asco
34947,0,hersegami vero linares gloria monteneg mimpperu  judicial judicial judicial fiscaliaperu minim acuciosa gorritiana
14526,0,chivatazo seria
10484,1,exponiendo agenda parlamentaria
14009,1,amor  causa querer noche
23913,2,2020 marca escribe mariaelenak16 porlavidaylafamilia congreso2020 26 voto
32256,0,busque wikipedia julio guzman adivinen salio julio armando guzman  caceres caceres conocido incendiario amoroso encendiendo pasiones 2018 jajajjajajja
21589,2,tendencia seguiremos trabajando duro votante
17936,2,mira partido juega limpio bedoya reyes inspira seguir ruta sol luz limpia fuee ilumina  ppc pasion peru ningun otroppc partido juego limpio huachano7 paisanojk
14408,1,jugue basket contigo senti feliz cabeza   dudas papa aceptara
3848,0,reyconbarba entrevistar mano piedra  moeueperu2020 jbcperu
34519,1,elecciones 2020 martha chavez  insultos aeropuerto cusco marthachavez elecciones2020 fuerzapopular
18526,1,adios alcohol lindo  agotador
29117,1,candidato  entrevista
4880,2,planta tamarindo afuera  probablemente casa vivas
18630,2,recien  subiste gracias dejarnos
5590,2,inicio inicio inicio inicio
6458,1,rosa bartra mauricio  mulder mulder mulder follando capos quiero cam
30716,0,pobre  mulder miserable sueldo congresista alcanzo ahorrar volvera postular
10918,2,mauricio mauricio mauricio mulder aplomo claridad
5169,0,arreglan listo siente gente  pantalla camila paso tenia
7186,2,reunion capacitacion personeros fuerzapopular limanorte preparamos defender voto naranja domingo  eleccionescongresales2020
1159,1,surco surco alcalde combe
198,2,seguir lennon inspiradora eeriencia  agilista agilista agilista empresario
29620,0,brazada asustado pobre
27058,2,voto ley mulder mermelada mauricio mulder merecido  jaime chincha
21762,1,saque millones pagar  panama panama panama posppc ppcladrones
30687,0,compa  mauricio mulder autor leyes anticonstitucionales vocacion democratica furgon cola fujimorismo
9220,0,partidos pasaran valla ppc solidaridad  mantiene mantiene busqueda votos pierden espacios
18325,2,amigos pavo huele buenazo preguntando  1ra 1ra
17831,2,ppc presentamos proyecto ley devolverle peruanos exterior derecho voto instaurar distrito electoral darles representacionppcequipoquejuegalimpio debatecec2020  debatetvperu debatetvperu debatetvperu
18877,0,topos fujimorismo deslindes claros directos mafia tie
27644,2,fuerzapopular s fujimorismo
19798,0,confias politicos taaanto quieren constitucion capricho politico gente  mejoremos mejoremos mejoremos mejorar
2703,1,shaki noche  llego llego llego llego casa siguiendo hijo delgada sucia patitas debiles arqueadas
35108,0,pulmon  susan susan julio guzman like
67,0,ciudad siento gente quiero agarro ola migratoria
21814,0,webadas webadas vago alcahuetedelfujiaprismoese ppc
11510,1,nace moda partido  dignidad dignidad dignidad dignidad nefasto destructor
27361,1,partido politico votara elecciones congresales 2020 fuente ipsos  peru peru peru
2709,1,tema pendiente proximo congreso2020 eleccion ortiz zevallos miembro peru prop
32790,2,alberto  beingolea beingolea candidato ppc partido yendo congreso preocupaciones menciono modelo economico reforma politica reforma judicial seguridad ciudadanaconoceatucandidato pacoflores
32442,0,pesimo ocurrido julioguzmanperu incapacidad responder politicamente cuestionamientos actitud neutralidad frente sirve politica
15753,1,san marcos  debate debate presentaremos propuestas dilucidaremos afin electorado presente escoja opcion enero sillas vacias vayan imaginandose arrugaron
8453,2,partidomorado hora cambio tienes  amparo
8623,1,ademas nota rivales desesperados elecciones sacar video  2018 2018 2018 mal jugado todavia hubiera sacarlo 2021 lanzaba presidente
19967,0,elecciones2020  fuerzapopular fuerzapopular fuerzapopular hubiera aliado partidomorado oportunista
4600,1,saque millones pagar  panama panama posppc ppcladrones
25496,1,lunes recorrimos gamarra unequipoquejuegalimpio llevando propuestas  proyectos proyectos ley
5867,2,mesias guevara aseguro bancada partido salga elegida domingo apoyara fondo reformas politicas
10775,0,mauricio mulder peru rie  actitud actitud ridicula kamikazes moraditos yovera belaunde pone nota picante sarcasmo fino realista  actitud actitud par moralizadores inquisidores tratando defender falso
1149,2,candidato  festividad marca
32419,0,autodestruccion mediocridad liberal ponen accion predican  angustia
34346,0,ultimos gobierno izquierda  centro centro centro centro izquierda tuvieron cambiar nombre aun problema radica derecha vallejo opounistas
17376,2,gracias  julioguzmanperu julioguzmanperu regalarnos noche llena memes
5148,2,gracias bases  partido partido tiempos naranjas
28154,0,pbodigital hipocresia antecedentes candidatos arreglada  caviares caviares caviares
1545,0,entenderas rosa bartra mauricio mulder den palo presentan programa entrevista numero simbolo queda  inconsciente espectador
5776,1,candidata candidata
2749,2,eleccionescongresales2020 marquemoslak fuerzapopular  numero ricardo vasquez kunze
13332,0,ojoooo daniel mora pegalon suman ademas  alimentos partidomorado julioguzmanperu
26170,1,martita pueblo impredecible  sopa seca carapulcra
22036,2,feliz sabado tbm tiempos entro twitter  agradable agradable agradable agradable persona vea
11055,0,mauricio mulder variar
22962,1,afanoso candidata alianza progreso lesly shica propongo becas impuestos empresas financien progreso
24131,1,queriamos fuerzapopular congreso acuerdo disolucion constitucional restante mezclados nucleo duro apoyan  satelites satelites satelites candidatos topos partidos alto
