,label,text_changed
31885,2,adrianzeneduard tenemos que resaltar que el partido morado no blinda a nadie y que fue el partido morado quien exigio a daniel mora a presentar su renuncia est fuera por lo tanto mi voto sigue igual por partidomorado
7102,2,ser candidato por el partido frente amplio con el firme compromiso de representar a la gente de trabajo a quienes demandan y merecen salarios justos  pensiones de dignas y oportunidades para ganarse la vida por sus propios medios biencomnrd frenteamplio
32174,0,triciclodelperu  el propietario del partidomorado  es gustavogorriti reclutador de antifujimoristas rabiosos y convenidos comunistas caviares asoleados periodistas necesitados sospechosos y evidentes perseguidos de la justicia incautos vizcarristas rmoras politicas
35699,0,en menos de una semana el partidomorado pas hacer el partidomoretn y termin siendo el partidoabollado agrupacin poltica de pegalones cobardes e infieles y as decan respetar a la mujer
8190,0,alberto belaunde no hay marcha atrs cada del partido poltico partidomorado  partidonoconsecuente
5306,0,todo el dia esperando llegar a casa y comer helado casero pata encontrarme sin luz y el helado hecho agua putamadreeeeeee
32000,0,idlr defienden contra natura a su dolo de barro partidomorado nido de caviares izmierdistas comunistas socios d vizcarra vizcarratusreformasfracasaron vizcarradictador vizcarraincapaz fraudeelectoral votoelectronicoesfraude vizcarradictador eldepadelamor depadelamor
27299,0,"frenteamplio  volvemos con nuevos rostros en poltica y con experiencia para servir

nunca ms impunidad e injusticia en la representacin nacional no nos da miedo sus millones ni sus campaas financiadas

en esta tarea vamos de la mano de la gente
conelvototambienselucha"
18054,0,no hay una sola libreta que est terminando y que tenga que poner el comentario final y no llore voy a extraar demasaido mi clase
1301,0,y se atreve a criticar primero que empiece a trabajar que nada han hecho por lima accionpopular
17722,1,encuestasapra y  ppc muertosanalista politico  cesarcamposde alguna manera no han sabido superar la animadversio
19344,0,"mauricio mulder mientras tengamos 25 partidos muchos sin ideologia ni nada si no los reformamos no va a servir de nada la bicameralidad

debateece2020"
10156,1,danidiazcordova silviadg pero que mejor se dedique a salud pblica ella es mi esperanza
24398,0,jlexlgtb veritatisperu y esos integrantes del partido morado  quieren gobernar e interferir en la formacin de los nios y redefinir
4837,0,por eso no hay que votar por el  ppc
20954,0,exitosape a que hora cierran su redaccin se enteraron la denuncia de panoramaptv cuartopoder latinanoticias siiiiiide su partidomorado   y julioguzman que se incendia 
27576,0,elecciones2020    fuerzapopular   no me hubiera aliado con el  partidomorado porque no soy un oportunista    perunacion   es fundamental votar a corruptos del  poderjudicial y del  ministeriopublico   pbo      salvadordelsolar
27671,0,candidato fujimorista se queda en blanco en pleno debate     phillipbutters    fuerzapopular y  keikofujimori han tenido una pesima seleccion de candidatos    pbodigital       milagrossalazar  mora  vizcarra  alberto  accionpopular  peru  urgente  vitocho
22199,2,keikolamujerdelao  gracias por poner las bases al partido mas bueno de todos los tiempos somos naranjas
16144,2,debateece2020  fuerzapopular  marquemoslak  k1 y  k4 martha chavez y ricardo vasquez kunze
11895,2,debateece2020  fuerzapopular  marquemoslak  k1 y  k4 martha chavez y ricardo vasquez kunze
8886,0,lo que se critica de julioguzmn es su reaccin no interesa si es infiel o no pero l en vez de enmendar su reaccin reaccion peor partidomorado
9633,2,cmo todo los viernes siempre esperando rapperground rap en la radio a la media noche 1200am va los 1027 fm radio filarmnia yeahh
14432,0,escuchando soundtracks antiguos primero en nostalgia y ahora caigo en depresin
18909,1,rt juankrlosgz guiller05265405 accionpopular noakeikope los partidos tradicionales accionpopular ppc y apra han sido furgon de col
26890,0,rt latinanoticias  mulder opino en abrelosojos que mora trabajo con el miedo a su conyuge quien ratifico su denuncia por violencia
10977,0,"mauricio mulder del apra sobre la paridad de parlamentarios considera que puede haber cree que debe haber una reforma parlamentaria que cambie todos los partidos politicos que sean serios debateelectoral

le dare puntos"
2462,2,candidato al congreso de la republica por lima  aldo celiz castillo  marca la k y escribe el numero 25   fuerzapopular  li
5470,0,estoy sin palabras mi corazn esta triste recin hace unas horas me entere que chalena vsquez parti de este mundo no me lo creo an
12851,0,partidomorado as entran al partidomorado de julioguzman comunistas vizcarristas caviares hueveras antifujimoristas feministas un sancochado que ni el bismutol los para 
29773,0,umbral2005 si pero la verdad que funcin de chistes del que chanc a mi familiar no creo que haga mucha gracia
15755,2,esto es lo que necesita al pas ir hacia adelante educacioneigua1 elecciones2020 juntosporelper partidomorado frenteamplio
66,2,mangoypalta abrazo sororoso nos encontraremos
27644,2,fuerzapopular mas unidos que nunca   fujimorismo unido
7348,2,propuestas de       pension dual  para todos los peruanos  a partir de los consumos que realices     igv    liberate mujer  independencia economica via emprendimientos   con alcance a programa vaso de leche  y comedores populares  marca la k  nro  30 de  fuerzapopular
18278,0,zabdiel1344 quise hacer un video de momentos junto a ti pero recorde que solo tengo 1 foto
15540,1,"gabsalvador85 6  campaa
llegando a costa verde hablando de nuestra propuesta de ciudades sostenibles ya lo hicimos con la"
30978,0,evidentemente frenteamplio es un volantn sin cola olvida por completo las demandas sociales que grit a los 4 vientos luego tal como siempre intenta atacar sea como sea y por dnde sea con el afn de desestabilizar un sistema estable
5616,2,4 de enero y hoy empiezo a disfrutar todo todito todoooo
32395,1,hoy estuvimos en un debate en el local del sindicato de comerciantes del mercado modelopartidomorado chiclayo
18818,1,"invitado a radio planicie para hablar de nuestras propuestas y hacer un analisis de la coyuntura electoral

betoesel12
accionpopular
siempreadelante"
27088,1,mauricio mulder del peru
6246,0,aca el infiel lider de su fiel amigo mauricio mulder
23351,0,chechechacon socioperiodismo lo nico que haces es exponerte a que la gente se acuerde de que tan desgraciadas han sido sino fueron congresistas pero si unas delincuentes sin educacion y sin valores morales y todavia estan con el pseudo abogado mauricio mulder otro delincuente ligado a las mafias apristas
2367,0,sobre la izquierda el frenteamplio necesita un nuevo impulso si de garantizar su ingreso al congreso se trata el empuje de enriquefernandezchacon solo en lima est dejando de ser atractivo porque ha perdido la frescura de las pasadas elecciones municipales 12
31319,2,la verdad de la milanesa   fuerzapopular esta aqui  y se quedara por largo tiempo  por el cario de la gente  mas odio enfermizo  mayor foaleza del partido  a marcar la k
22802,1,"nuevo recorrido por brea el domingo 19 de enero muchas gracias por el apoyo de todos los vecinos 

adelante 

max33 accionpopular  eleccionescongresales2020"
14581,1,accionpopular los miembros de la bancada disuelta actuaron sin consecuencia partidaria ni doctrinaria y no representaba el sentir de la militancia y menos de los principios de accionpopular
28357,0,carlitarocha julioguzmanperu costagino alberto belaunde partido cobardesmoradoscobardesle impoo mas su culo q la gente q vivia ahi esto es inaceptable desde cualquier punto de vista
29361,2,hoy el equipo delperu del  rimac salio a las calles a ense ar a votar por el  ppcmarcaelmapadelppc
